Age,Gender,Education,EducationNum,Workclass,Occupation,Industry,Location,YearsExperience,HoursPerWeek,MaritalStatus,Race,CapitalGain,CapitalLoss,NativeCountry,FinalWeight,Salary,SalaryCategory
58,0,2,8,2,0,3,3,11,50,1,2,4060,3419,4,72253,60600,1
43,0,4,10,2,2,2,3,31,47,1,3,5512,2217,0,81622,95300,1
49,0,1,9,2,2,0,3,19,24,1,3,9047,2974,0,103279,69700,1
26,0,2,3,1,0,1,4,28,27,1,4,9831,3490,1,123829,68700,1
51,0,3,4,2,1,1,4,34,49,2,3,7479,3168,0,117135,79500,1
30,1,2,13,3,5,4,1,16,46,1,2,1754,3013,1,141914,74700,1
20,0,1,8,2,0,0,2,30,53,2,0,6934,1709,1,68328,85000,1
54,0,3,8,3,1,3,4,35,40,0,1,4187,3439,4,73929,93800,1
59,1,2,11,3,0,0,0,18,36,1,1,9820,4937,0,83864,75900,1
32,0,2,15,2,0,3,0,0,33,2,0,7770,4267,3,137208,55800,1
49,1,3,6,2,3,2,3,13,58,1,0,5875,1910,0,61395,56700,1
30,1,4,5,1,3,2,4,20,29,2,4,2946,2765,4,128582,70000,1
45,0,4,11,3,0,3,0,21,40,1,1,2790,2022,3,105361,79800,1
35,0,2,15,1,3,4,3,0,47,2,1,7391,3689,1,137322,56200,1
52,0,0,9,3,0,3,2,25,35,0,1,887,4077,0,106965,82300,1
47,1,3,14,0,0,3,3,18,29,2,4,3726,2601,2,81344,71000,1
30,1,3,9,0,1,1,4,15,35,0,0,1900,2564,1,135881,68000,1
52,0,0,10,3,1,0,3,2,36,2,3,993,2553,0,149094,46700,0
39,0,3,5,3,2,0,4,21,56,1,4,3798,2460,4,79399,68200,1
20,1,2,13,1,4,0,2,23,31,0,1,1171,686,3,100293,88700,1
28,1,3,2,0,1,3,4,2,56,1,3,8567,2289,4,126454,27600,0
38,0,1,7,3,5,0,0,36,58,0,1,5965,637,1,65984,96200,1
29,0,3,4,2,0,4,1,31,59,0,3,9353,2842,3,76915,82900,1
30,0,1,15,3,0,4,0,9,32,0,3,6328,3207,2,76837,62000,1
40,0,1,3,0,3,2,2,26,44,2,0,8401,4809,4,116232,66500,1
51,1,4,5,0,5,2,2,33,49,2,1,340,1530,1,136042,88100,1
23,0,3,14,2,5,0,3,28,39,1,1,6869,3035,4,133551,91100,1
21,0,2,6,2,2,2,1,0,42,0,1,5485,1629,4,63480,30300,0
38,1,3,8,0,2,1,1,11,42,2,3,2611,2989,0,144324,47600,0
49,1,3,7,3,5,1,2,25,42,0,2,4139,4845,3,73336,70900,1
34,0,3,9,0,4,1,3,8,41,1,3,5180,1682,0,115049,51600,1
25,0,1,2,3,1,4,4,37,30,2,4,3200,2951,0,129507,75500,1
44,0,0,13,2,4,4,0,21,38,1,2,8707,4403,4,136560,79900,1
53,0,2,15,2,0,2,4,28,40,1,4,2384,4768,1,104049,88900,1
31,1,3,5,3,3,4,4,24,40,2,1,1119,2705,0,95695,67700,1
28,0,4,1,3,5,3,3,2,39,1,1,9918,631,1,87988,30400,0
45,0,3,13,1,3,0,4,2,43,2,3,2684,327,3,90395,51500,1
20,1,1,4,2,2,1,4,9,33,0,2,9525,730,1,115487,41000,0
42,0,1,7,2,3,1,2,5,39,0,1,6605,142,0,141350,46400,0
44,0,2,9,2,0,4,3,30,51,0,4,1901,3813,3,118114,88100,1
46,0,4,2,0,2,2,2,7,41,1,1,7827,3843,0,65003,40400,0
36,1,4,15,2,2,2,0,10,45,1,2,3025,1136,2,135435,61500,1
55,1,0,2,0,3,4,1,16,49,1,1,8064,4597,1,72141,49800,0
48,0,4,9,3,0,4,2,23,55,1,2,3838,2950,4,104852,78900,1
28,0,1,15,0,1,4,4,1,59,0,0,2892,1330,1,143547,56500,1
27,0,4,15,1,3,2,2,27,30,2,2,4180,2590,2,68498,98200,1
47,0,1,7,0,2,1,1,25,54,2,0,6991,3139,3,68350,80700,1
36,0,1,3,2,1,0,2,15,25,2,4,7793,2539,2,76999,54800,1
21,1,2,4,1,5,1,0,3,41,0,2,5608,1558,1,78732,28000,0
27,0,1,11,0,1,3,2,26,57,2,2,8860,79,3,59830,88300,1
59,1,2,14,2,5,0,4,21,52,2,1,9870,1225,4,125505,76100,1
51,1,3,3,0,3,4,0,8,23,1,0,9826,1589,3,117795,39600,0
30,0,1,3,1,1,3,2,21,22,1,4,992,370,1,70817,53500,1
41,1,1,5,2,4,1,4,34,56,0,2,8054,3518,2,89997,77400,1
47,1,3,5,3,4,1,1,28,26,0,0,5163,3812,3,66306,76300,1
40,1,0,15,0,3,1,4,3,51,0,3,9692,2559,1,72486,61900,1
26,0,4,12,3,2,3,0,2,53,2,2,49,828,0,103517,49000,0
24,1,1,1,1,4,0,3,10,45,0,2,1839,2832,3,58624,34300,0
26,1,0,10,2,2,4,2,37,37,2,1,601,4082,3,66732,91900,1
24,1,4,3,1,4,0,3,12,40,1,0,9130,3660,0,124398,49000,0
55,0,2,10,2,2,3,0,36,23,0,1,5839,3660,3,85354,89400,1
35,0,3,13,2,3,0,0,20,40,0,1,711,1612,0,89715,82100,1
25,0,1,10,0,3,3,2,17,20,1,2,2522,2328,0,98523,74100,1
23,1,1,2,0,1,4,0,8,24,2,1,6257,2772,4,129676,31200,0
46,1,4,8,1,5,2,3,5,37,1,1,1147,2338,4,135211,45400,0
23,0,0,11,1,1,1,0,17,42,2,0,9849,4808,1,53242,67400,1
47,0,2,10,2,1,2,3,18,22,2,0,3081,1408,3,128537,64600,1
37,1,2,8,1,1,0,1,14,41,0,2,8683,4022,0,145236,66500,1
35,0,4,12,0,5,4,1,35,20,1,1,8428,1053,1,109013,101800,1
21,1,3,4,0,4,4,2,27,20,2,1,3051,1139,0,63046,72200,1
39,1,3,9,1,5,0,0,38,52,1,3,9773,3754,1,91057,100700,1
57,1,4,14,2,1,1,1,17,49,1,1,9867,673,1,59788,77400,1
45,1,2,14,0,5,0,0,8,25,1,2,6249,2546,1,64051,68800,1
56,1,2,9,2,2,4,4,33,44,0,4,5702,2331,4,57972,96200,1
47,0,2,7,2,0,1,3,32,22,1,1,9841,92,4,87638,91400,1
59,1,0,13,1,4,3,4,38,41,2,1,1926,4092,1,53366,105000,1
55,1,4,9,0,0,3,3,18,58,1,4,4522,3363,3,73767,66100,1
51,1,4,8,1,2,0,1,15,42,2,1,6255,2244,2,125044,64900,1
33,0,4,7,3,2,4,1,14,28,1,1,1162,4013,4,98764,53100,1
29,0,1,5,0,1,2,1,0,43,0,3,9291,4094,4,129385,39500,0
26,1,1,1,2,2,1,1,8,55,1,1,6805,3231,0,148861,43600,0
26,0,4,3,0,5,3,2,15,51,0,3,4405,2595,4,64594,48600,0
46,1,4,1,3,0,1,4,2,51,0,2,5003,3019,2,119589,27000,0
32,1,3,14,3,1,2,4,25,25,1,2,8770,1330,4,99663,93600,1
51,0,1,9,3,2,3,0,39,52,2,4,5095,3187,3,148884,101400,1
22,1,2,6,1,3,4,3,0,30,2,0,6846,718,0,109520,35000,0
52,0,3,13,3,1,2,4,17,36,1,3,8359,3403,1,53691,69800,1
47,1,4,11,0,4,3,2,3,26,2,1,9549,1967,0,86263,53900,1
47,1,3,13,1,0,3,2,29,34,2,2,678,3469,2,123398,92400,1
59,1,0,8,2,4,3,0,14,54,1,1,8896,1695,1,89440,66800,1
28,1,3,4,2,3,4,2,31,50,1,0,4530,4944,3,148397,82100,1
29,1,3,9,0,2,0,0,39,44,0,0,3339,3044,3,131478,101000,1
45,1,4,15,3,5,4,1,16,54,0,0,756,810,3,129684,70900,1
39,0,3,1,1,3,1,1,15,33,2,2,585,2036,4,109528,43400,0
42,1,2,6,3,0,2,2,15,53,0,0,56,2431,1,66755,63600,1
40,0,4,1,0,4,0,4,27,40,1,0,8381,2870,2,132162,70100,1
32,0,1,12,0,3,4,2,17,58,2,1,7339,4330,2,148517,76500,1
41,0,4,13,0,5,3,1,24,55,0,4,1622,262,3,69923,85800,1
29,0,0,9,3,5,2,0,19,35,1,1,5091,3149,2,139609,74800,1
49,1,1,10,2,2,3,3,5,53,1,1,4753,342,4,114197,42700,0
45,1,3,2,2,1,4,0,37,38,0,3,1783,3529,4,142732,80200,1
47,0,4,5,0,5,4,0,28,26,0,4,9294,8,4,105153,77300,1
27,0,1,14,2,4,0,2,24,55,0,0,9129,2001,4,143512,88300,1
52,0,3,15,2,4,4,0,27,22,0,1,1189,1283,0,93825,100100,1
48,1,3,7,3,2,1,4,31,46,2,2,8246,1770,1,144259,84300,1
46,1,4,2,3,4,2,2,0,27,1,2,1100,4245,2,86566,25600,0
50,1,2,14,1,4,3,1,25,30,0,1,5694,2342,0,146632,88100,1
58,1,4,10,2,1,2,1,21,32,2,2,7613,2915,2,63063,79000,1
22,1,3,5,1,3,0,3,38,25,0,1,8393,2781,4,68294,82200,1
22,1,2,10,2,5,0,4,29,26,1,4,2165,1572,4,63780,93400,1
37,0,2,2,1,1,3,1,31,28,0,0,861,181,4,148544,71600,1
35,0,1,6,2,5,3,1,32,41,1,0,2518,624,2,51087,79500,1
24,1,3,12,3,5,3,0,17,53,2,2,3907,4850,1,112881,68100,1
50,1,1,11,2,3,4,0,28,34,1,3,5772,1610,1,104113,87600,1
53,0,2,14,3,4,0,3,10,45,0,1,7303,3894,2,68360,72400,1
57,1,1,15,2,5,3,4,10,41,0,3,8528,3634,1,78049,70500,1
29,1,0,5,1,2,2,1,12,41,0,1,2615,1296,0,108398,45400,0
57,1,1,12,3,3,4,0,2,58,0,3,4931,4767,2,70991,45600,0
32,1,4,9,2,5,2,4,26,37,0,0,6862,1935,0,122206,77700,1
46,0,0,6,2,2,2,4,6,26,1,0,4608,1154,1,110460,43400,0
26,1,3,7,0,4,2,1,22,45,0,2,4866,1569,3,144866,74200,1
39,0,4,8,0,1,0,1,37,34,1,0,1661,3363,0,100930,90900,1
41,0,3,6,2,0,4,4,11,37,1,1,235,983,1,145356,56700,1
39,1,4,7,1,4,0,4,4,39,0,0,1852,3493,1,141773,43800,0
59,0,4,8,3,3,4,3,37,44,2,3,5620,601,4,98676,100300,1
29,1,2,15,0,3,1,3,21,44,2,0,2136,1494,0,69714,80300,1
56,0,4,9,2,2,2,0,23,31,0,3,7989,1829,4,86006,80600,1
27,1,2,1,3,5,2,3,14,33,2,1,7741,1721,1,52301,42600,0
44,0,2,6,2,2,3,1,4,42,0,2,7560,2219,3,141525,41600,0
22,0,3,1,0,3,1,3,0,50,2,2,6895,519,2,54337,19400,0
52,0,1,14,1,0,2,1,11,31,0,4,4796,3327,1,127285,62800,1
30,1,4,12,1,0,4,0,19,53,0,4,3671,2305,4,87598,76900,1
31,1,0,7,3,0,3,2,23,27,0,1,2873,608,3,54939,64900,1
27,1,0,14,3,3,1,3,18,43,2,1,2111,2209,0,84745,71400,1
52,1,1,13,0,4,0,4,13,30,1,4,5049,2444,0,96524,68700,1
32,1,1,10,0,4,2,3,2,47,0,3,2307,2513,4,69938,38200,0
58,1,0,11,1,3,4,1,31,35,0,4,7156,3533,2,96917,84900,1
49,0,1,4,1,1,1,1,15,56,2,4,6684,4307,4,93791,54400,1
52,0,2,14,2,0,4,0,24,46,1,2,5151,3064,4,81475,88200,1
55,0,2,14,3,4,2,4,35,20,0,3,4617,3434,2,108095,108700,1
33,0,3,3,2,4,2,0,8,24,0,2,5828,3049,4,114153,38800,0
46,0,1,5,3,2,3,4,12,23,2,4,9956,570,1,84340,45700,0
25,1,4,3,2,1,1,1,7,24,2,1,3811,2682,2,102588,34100,0
47,0,1,9,1,2,0,1,1,20,2,3,8660,2166,3,80852,42100,0
57,0,4,14,1,1,1,1,19,21,2,3,229,2252,0,148257,74400,1
51,1,3,1,0,4,0,1,18,56,2,4,5791,354,2,91991,45600,0
53,1,0,6,1,4,4,1,37,26,2,0,4858,916,0,146810,94800,1
40,1,3,13,3,0,1,3,9,24,0,1,3179,306,0,99914,59900,1
37,1,4,6,1,0,0,4,22,32,1,1,3517,979,3,79499,63100,1
29,0,0,6,1,4,4,4,26,26,2,0,2376,3047,2,72478,79300,1
55,1,1,5,0,0,3,3,37,57,1,3,7621,3448,1,138468,88200,1
26,1,1,15,3,3,0,2,20,37,1,4,4705,2661,2,121030,82000,1
48,1,0,15,3,0,2,1,9,48,2,1,8772,75,3,142392,70200,1
48,0,3,3,2,5,3,3,18,31,2,1,8748,2798,3,116057,62400,1
30,1,3,15,2,0,4,3,17,32,1,4,3991,840,0,85213,82700,1
32,1,1,11,1,3,2,1,0,28,0,1,4225,982,0,90326,40000,0
59,1,3,9,1,1,0,3,21,47,2,4,9258,1251,3,120399,78500,1
54,0,2,14,3,5,1,4,8,56,1,3,269,1148,3,149827,68400,1
49,0,0,14,0,0,3,0,18,27,0,2,5754,4188,2,128451,75200,1
50,1,2,12,0,2,1,0,25,22,0,4,3043,4749,1,117686,78000,1
35,1,3,4,2,2,1,0,16,46,0,1,5969,367,0,110383,52300,1
39,0,0,11,2,5,1,2,7,20,1,4,5441,4234,4,147263,56700,1
41,0,1,8,3,5,0,1,11,21,2,1,1431,801,4,62588,47600,0
41,1,4,11,0,0,3,2,6,22,1,3,2108,350,4,55006,48800,0
55,1,3,14,0,1,1,3,35,40,2,2,8019,3305,1,123698,106200,1
27,1,3,5,1,0,3,0,27,59,1,2,5570,4724,2,124264,72100,1
30,1,4,8,2,1,0,2,33,49,2,1,9303,778,1,149702,84800,1
20,0,1,4,3,2,3,0,25,45,1,0,5678,3943,4,81887,73500,1
24,0,1,11,3,1,3,2,31,43,0,1,6244,2380,1,82433,92400,1
23,0,4,6,3,2,0,4,7,34,0,1,6740,4460,3,86006,43400,0
45,0,2,15,0,1,3,2,20,53,1,3,3985,4376,4,62818,85900,1
35,1,1,3,0,3,4,2,17,57,2,1,9689,4160,3,138252,48500,0
36,1,2,6,2,4,1,0,26,52,2,2,359,680,1,74251,73300,1
44,1,4,11,1,4,0,1,2,40,0,0,5169,3787,1,126624,48500,0
24,0,2,5,0,0,0,0,10,45,1,1,1200,2212,4,95645,49900,0
58,0,3,11,1,1,4,4,32,45,2,1,3360,3051,0,60410,86300,1
34,0,2,14,0,1,4,0,29,24,2,0,1203,2527,1,134299,101300,1
47,0,1,15,2,5,3,1,14,55,1,0,562,397,4,100578,73200,1
51,1,4,11,2,0,1,2,29,36,2,1,6611,437,2,127993,84200,1
31,1,0,11,0,2,3,2,37,33,0,2,200,344,3,140163,94400,1
31,0,2,15,3,2,0,3,31,24,1,3,9070,2449,0,125385,103500,1
38,0,2,10,2,0,0,3,21,49,1,4,5146,333,2,104967,76200,1
32,0,4,4,0,1,0,3,19,25,1,3,8306,2737,4,94046,63200,1
45,1,0,5,1,1,2,0,18,58,0,2,6806,2017,3,79132,52400,1
31,1,0,3,0,4,1,2,23,58,0,1,227,3294,4,136135,62800,1
54,0,3,8,2,2,4,1,35,54,1,1,5529,4001,3,84117,87000,1
26,0,0,15,3,1,1,2,5,39,0,3,4179,3101,4,67557,57100,1
34,0,2,14,2,5,3,4,20,46,0,3,8024,4343,3,129081,78300,1
56,1,2,5,1,2,0,3,24,22,1,2,2800,3306,1,95967,62000,1
32,0,1,12,1,4,3,1,3,28,2,3,6955,1355,1,117526,50600,1
54,0,2,11,2,5,2,4,16,41,2,1,6056,3734,3,137383,69200,1
35,0,0,13,1,3,3,0,31,54,1,3,3174,1262,0,142332,99300,1
31,1,3,12,1,0,4,1,26,31,0,3,1076,2112,0,123838,79300,1
40,1,2,6,0,0,2,2,3,56,2,4,7867,325,0,89907,40300,0
23,1,4,3,1,4,2,1,23,38,0,1,155,1500,1,129655,58600,1
37,0,3,13,1,4,2,4,34,56,1,4,7873,2832,1,53788,105200,1
38,0,3,9,0,1,3,4,37,56,0,0,3578,1298,1,139326,89300,1
43,0,1,12,1,2,1,0,0,52,2,4,2715,520,3,104189,43100,0
53,0,4,6,3,0,3,1,21,40,0,1,2092,2384,3,96243,68500,1
50,0,4,1,2,5,0,0,1,39,1,1,6387,2963,2,95453,23000,0
50,1,4,4,2,2,2,1,13,27,2,4,637,4874,0,61321,52200,1
29,0,4,11,0,3,0,4,38,45,2,0,2870,3994,0,148834,98700,1
38,1,4,7,0,3,3,4,12,38,2,1,2013,4238,3,127993,50300,1
59,1,4,14,2,2,3,0,20,56,0,0,4490,1039,3,79413,78900,1
59,1,2,15,3,3,3,2,5,30,2,3,9937,1986,3,119560,53200,1
49,1,4,6,1,0,4,2,14,55,2,3,8295,4806,2,73897,56400,1
33,0,3,7,1,0,3,0,38,58,2,0,5586,1001,0,55984,96600,1
50,0,3,15,1,1,4,4,17,23,0,2,2830,3947,0,94622,83500,1
31,1,2,7,3,3,0,0,27,33,0,3,2396,4222,1,99132,75100,1
28,0,4,10,0,3,1,4,20,22,1,2,6881,4785,0,130831,78800,1
34,0,1,8,1,0,4,3,9,59,0,2,51,4623,3,102746,51300,1
